,address,advantage,city,company_name,education,industry,industryLables,label,position_detail,position_name,salary,size,stage,work_year
0,"['西直门', '动物园', '官园']","团队强悍,待遇丰厚,数据规模,场景明确",北京,北京沃丰时代数据科技有限公司,硕士,"移动互联网,企业服务","['企业服务', '搜索', 'NLP', '算法']","['AI', '大数据', '云服务', '大牛带队']","
职位描述：

职位描述：
+ 企业服务领域智能化场景的业务分析、数据建模和数据优化。


任职要求：
+ 1年以上相关工作经验，有落地的产品；
+ 优秀的业务理解、目标制定、沟通能力；
+ 精通机器学习算法，丰富的数据分析、挖掘、建模经验，有NLP经验更佳；
+ 有TensorFlow/PaddlePaddle等深度学习工具经验；
+ 良好的开发能力（SQL/Java/Python/R/Scala等），了解大数据开发平台（Hadoop/Hive/Spark/Storm)。




公司介绍寻找有梦想，爱学习的实力派！Udesk是国内领先的智能服务平台，拥有数万家云上企业用户，云平台日访问量数亿次，通过整合整合ABC（AI、Big Data、Cloud Computing）为企业提供了一套集智能问答机器人、即时通讯、VoIP、工单、知识库、数据分析为一体的全场景的智能客服系统解决方案。Udesk知名客户有光大银行、海底捞、星巴克、故宫博物院、皇家加勒比游轮、凯撒旅游、中青旅耀悦、WPS、印象笔记、巧虎、养乐多等。覆盖了股份银行、餐饮、本地生活、旅游、O2O、企业服务等行业。Udesk于2018年9月完成C轮3亿人民币融资，投资方为老虎环球基金、君联资本、DCM。公司收入增长迅速，现金流充足，不烧钱、不依赖融资。产品介绍    Ubot-智能问答机器人—多轮交互，自主学习，知识图谱
    Udesk智能客服平台—智能化，数据驱动，云服务，企业级
    Insight客服大数据—数据驱动，实时监控，大屏显示
    Udesk前端用Ember.js，后台用Java、Ruby、Go。日接口调用量超过200,000,000次。

",机器学习,15k-30k,150-500人,C轮,1-3年
1,['麓谷'],"扁平化管理,周末双休,五险一金,交通补助",长沙,湖南星汉数智科技有限公司,硕士,"移动互联网,数据服务",[],"['年底双薪', '带薪年假', '绩效奖金', '交通补助']","
职位描述：

工作职责：
1，研究机器学习或深度学习领域的前沿技术,并用于实际问题的解决和优化
2，负责自然语言处理或计算机视觉核心技术的研发工作
3，工作包括但不限于：文本分词，命名实体识别，知识抽取，认知学习，医学图像处理，图像分类，人脸检测识别等

职责要求：
1，创造性思维，富有想象力，有推进人工智能的理想和使命感
2，掌握机器学习基本算法，并在自然语言处理或计算机视觉方向有较深入研究
3，熟练掌握一门编程语言C/C++/Java/Python
4,具有良好的沟通能力和良好的团队合作精神

",机器学习,10k-15k,50-150人,未融资,不限
2,['和平街'],七险两金 周末双休 带薪年假 发展空间大,北京,北京构力科技有限公司,本科,其他,[],[],"
职位描述：

岗位职责：
1.参与建筑相关行业的软件研发项目，用机器学习帮助解决建筑行业工程计算，分析，设计，项目管理等工程问题。
2.包括但不限于机器学习算法平台搭建，技术路线选型、算法实现、模型训练和调优、以及机器学习系统部署与整合。
任职要求：
1.全日制本科学历以上，计算机、建筑学、土木工程、数学等相关专业优先，硕博优先。
2.熟悉Python3编程语言。
3.熟悉scikit-learn，tensorflow或其他机器学习框架与算法基础，有实际项目经验。
4.熟悉Linux系统使用，shell命令和脚本。
5.有统计学或数值分析、算法设计实现的厚实技术基础优先。

",机器学习工程师（中高级）,15k-30k,150-500人,不需要融资,不限
3,,公司氛围好 福利补贴多 行业前景佳！,上海,华院数据技术（上海）有限公司,硕士,"企业服务,数据服务","['大数据', '机器学习', '图像处理', '算法']","['带薪年假', '绩效奖金', '定期体检', '通讯津贴']","
职位描述：

职位描述：
岗位职责:1. 模式识别、图像处理相关算法研究开发2. 基于图像/视频的人物/人体/物体检出、识别、追踪等；

任职资格:1. 硕士研究生及以上学历，计算机视觉、人工智能、机器学习、模式识别、图像处理等专业；2. 掌握模式识别、图像处理的基本算法,有相关学习或工作经验；3. 有基于图像/视频的人物/人体/物体检出、识别、追踪相关实践经验者优先；4. 掌握多种计算机语言和工具, 例如: C/C++, python, OpenCV, Caffe等；有以下经验者优先：1. 有人脸检测、视频分析、医学影像等相关科研经历者优先。2. 有深度学习相关科研经历者优先3. 有算法的实际产品化经验者优先4. 能紧跟最新会议文章发展，cvpr，iccv等，能快速实现、分析算法者优先

",机器学习工程师/图像识别方向,15k-30k,150-500人,C轮,1-3年
4,"['安贞', '安华', '小关']",弹性工作 发展空间大 股票期权,北京,北京云杉世界信息技术有限公司,本科,"电子商务,O2O","['大数据', '电商', '算法', 'Java']","['技能培训', '节日礼物', '绩效奖金', '岗位晋升']","
职位描述：

        工作职责:
1.使用机器（深度，增强）学习技术提供实际问题的优化方法和解决方案；
2.对实际问题进行抽象，设计开发机器（深度，增强）学习模型组件，解决实际业务问题；
3.持续提升算法模型的准确度和泛化能力，降低解决方案的实现复杂度，提升性能；
4.创造更有价值的产品与服务，通过技术创新推动产品提升或客户业务增长

任职资格:
1.计算机相关专业本科及以上学历，学习能力强；
2.熟悉Python,Java等常用编程语言，了解分布式计算框架；
3.对机器学习算法有较深的了解，熟悉常见分布式机器学习框架（mlllib、tensorflow、keras）等；
4.熟悉CNN RNN LSTM Seq2Seq等常用的算法或网络，有算法调优的实际工作经验；
5.能够逻辑清晰地进行自我表达，团队合作意识强，不限业务领域，可以接受纯技术岗位。
        
",算法工程师/专家-机器学习方向(J13717),30k-60k,2000人以上,D轮及以上,5-10年
5,['科技园'],"股票期权,云计算,人工智能,弹性工作制",深圳,深圳智易科技有限公司,本科,"数据服务,企业服务","['云计算', '大数据', '人工智能', '机器学习', '算法', '架构师']","['人工智能', '云计算', '股票期权', '技能培训']","
职位描述：

职位内容：
参与设计研发一款国际领先的人工智能计算平台产品，并为其开发大规模分布式机器学习计算架构。


职位要求：
1. 熟练掌握计算机专业知识 (算法和数据结构，分布式系统，计算机网络，数据库等)；
2. 具有3年以上机器学习/深度学习相关系统和项目经验；
3. 具有1年以上机器学习框架使用和开发经验 (熟悉Tensorflow, Keras, Caffe, Pytorch等至少一种计算框架)；
4. 熟悉基于Linux的分布式系统开发，具备云计算项目经验者优先；
5. 熟悉Python, C++, Linux Shell；
6. 优秀的软件工程实践知识及过硬的代码质量；
7. 具备探索全新人工智能产品形态和系统整合的勇气和能力。



备注：同一候选人请勿重复投递多个岗位，谢谢~

",机器学习架构师,25k-40k,15-50人,天使轮,3-5年
6,"['漕宝路', '田林', '漕河泾']","团队强大,免费午餐,全勤奖,年底奖金",上海,上海银橙文化传媒股份有限公司,本科,"移动互联网,数据服务",[],"['年底双薪', '节日礼物', '技能培训', '绩效奖金']","
职位描述：

岗位职责:
1、参与现有决策引擎、推荐算法的设计与开发；
2、参与用户行为的挖掘和分析；
3、参与海量数据的挖掘和分析；
 
岗位要求:
1、精通java，良好的编码能力，有扎实的数据结构和算法功底；
2、基于主流机器/深度学习框架：Tensorflow、Mahout、SparkMllib研发过相关产品
3、数学功底和建模能力强，理解数据挖掘，熟悉机器学习领域的常见算法以及算法的适用场景、优点、缺点以及弥补办法；
4、大型互联网公司推荐系统或搜索引擎或广告系统或数据挖掘开发经验优佳；
5、有以下领域之一：机器学习/数据挖掘/信息检索/自然语言处理/统计分析/Hadoop/Spark的背景优佳；
6、工作认真，细心，有条理；积极性高，求知欲强；

",机器学习算法工程师,15k-30k,150-500人,上市公司,1-3年
7,"['酒仙桥', '大山子', '将台路']",人工智能 机器学习平台,北京,奇虎360科技有限公司,本科,"移动互联网,游戏",[],[],"
职位描述：

工作职责：
1、负责/参与360机器学习平台、智能云平台的等核心平台和框架的研发工作
2、负责/参与分布式机器学习框架和Saas平台的研发和优化
3、根据候选人能力及经验，职位包括但不限于：工程师、技术专家、算法专家等
 
岗位要求：
1、良好的沟通和团队协作能力
2、计算机相关专业，本科或以上学历。具备扎实的算法和数据结构功底
3、2+年工程研发或基础架构经验，熟练掌握C/C++、Python、Golang或Java等至少一种开发语言
4、大规模分布式系统的研发经验，具备解决系统性能问题的能力和经验
5、熟悉Spark ML、xgBoost,TensorFlow等开源机器学习框架，熟悉其性能调优方法和应用经验
6、熟悉大数据平台和流式处理相关技术和平台（如HDFS、Spark，Storm, Flink）
7、了解MPI/参数服务器/CUDA/BLAS等计算泛型技术
8、熟悉K8S、Mesos等分布式调度和虚拟化技术
9、在CV、NLP、搜索引擎、计算广告等领域有实际工作经验者优先
10、有机器学习框架和机器学习SaaS平台研发经验者优先

",机器学习平台研发,26k-40k,2000人以上,上市公司,3-5年
8,,平台大、技术牛、专业强、团队nice,北京,北京云测信息技术有限公司,硕士,移动互联网,"['云计算', '大数据', '人工智能', '机器学习', '计算机视觉']","['定期体检', '带薪年假', '年终分红', '股票期权']","
职位描述：

职位描述：
用图像、CV机器学习实现APP自动化测试。
任职条件：
1、机器学习相关专业的硕士及以上；
2、5年以上深度学习研发经验；
3、有图像识别、OCR、CV、知识图谱等相关经验优先；
4、有较强算法实践能力，有发表顶级会议论文者优先。

",机器学习专家,35k-70k,500-2000人,D轮及以上,5-10年
9,['沙河'],大平台，稳定，福利好,广州,深圳前海无极技术有限公司,硕士,移动互联网,[],[],"
职位描述：

岗位职责：


负责自然语言处理、深度学习在海量文本处理及挖掘中的应用，包括信息抽取，文本相关度模型，知识图谱构建等；
负责深度学习在机器人对话领域的工作，包括用户问答意图分析，上下文对话理解，知识图谱等，
通过模型的持续迭代优化，提升算法的召回率、准确率;
负责新技术的跟踪、研究和落地应用，独立完成算法的调研、选型与调优。


任职要求： 


数学／计算机相关专业优先，硕士及以上学历。
从事过智能语音或深度学习nlp相关项目，可以独立开展项目工作，有一定的抗压能力；
熟悉机器学习、自然语言基础算法，有深度学习项目经验者优先； 
有文本分类，舆情/情感分析、知识图谱，问答系统，自然语言处理、深度学习，人工智能、海量数据处理与挖掘经验优先；
具备较好的逻辑思维、沟通能力与开发规范。
具有良好的业务思维，能将理论算法与实际业务进行结合优先。


",机器学习专家,30k-40k,15-50人,未融资,3-5年
