,address,advantage,city,company_name,education,industry,industryLables,label,position_detail,position_name,salary,size,stage,work_year
136,"['清河', '西三旗', '上地']",五险一金、弹性工作、双休、团队氛围好,北京,北京小米科技有限责任公司,硕士,移动互联网,[],"['快速成长', '免费班车', '扁平管理', '技能培训']",null,算法工程师-小爱-自然语言处理/机器学习,25k-50k,2000人以上,D轮及以上,不限
137,"['望京', '来广营']","海量数据,顶级团队,大佬领投",北京,北京数美时代科技有限公司,本科,"企业服务,数据服务","['广告营销', '大数据', '算法', '数据挖掘']","['年底双薪', '大数据', '带薪年假', '通讯津贴']",null,机器学习工程师,25k-50k,150-500人,B轮,1-3年
138,"['四惠', '十里堡', '甘露园']","大公司,大平台,发展机会多,空间大",北京,互动峰科技（北京）有限公司,本科,医疗健康,[],"['五险一金', '带薪年假', '绩效奖金', '专项奖金']",null,机器学习工程师,25k-45k,500-2000人,D轮及以上,不限
139,,"技术前沿,五险一金,双休,零食多",成都,北京网思科平科技有限公司,本科,"信息安全,数据服务","['大数据', '深度学习', '建模']","['带薪年假', '岗位晋升', '五险一金', '绩效奖金']",null,机器学习算法工程师,15k-26k,50-150人,C轮,1-3年
140,,五险一金、年底双薪、项目分红、年度体检等,厦门,家乡互动（厦门）网络科技有限公司,硕士,"移动互联网,游戏",[],"['年底双薪', '带薪年假', '定期体检', '专项奖金']",null,机器学习算法工程师,25k-50k,150-500人,不需要融资,3-5年
141,,"五险一金,带薪年假,年终绩效,丰富团建",珠海,珠海市一知安全科技有限公司,硕士,信息安全,"['信息安全', '大数据', '算法', '数据挖掘', '数据分析']","['绩效奖金', '带薪年假', '定期体检', '五险一金']",null,机器学习工程师,18k-30k,15-50人,天使轮,1-3年
142,,行业独角兽,上海,上海基分文化传播有限公司,本科,移动互联网,"['工具软件', '机器学习', '深度学习', '数据挖掘']","['专项奖金', '带薪年假', '弹性工作', '管理规范']",null,机器学习算法工程师,25k-40k,500-2000人,上市公司,不限
143,['三里屯'],"六险一金,带薪假期,工作居住证,外资团队",北京,思凯思特（北京）科技有限公司,本科,"移动互联网,金融","['互联网金融', '大数据', '机器学习', '人工智能']","['弹性工作', '年终奖金', '定期体检', '扁平管理']",null,机器学习算法工程师,18k-30k,150-500人,上市公司,1-3年
144,,"Top薪资,快速发展,扁平化管理",上海,上海寻梦信息技术有限公司,本科,"电子商务,移动互联网","['电商', '算法']","['股票期权', '专项奖金', '弹性工作', '扁平管理']",null,机器学习算法工程师,30k-50k,2000人以上,上市公司,3-5年
145,"['关山', '光谷']",上市平台 14薪,武汉,北京四维图新科技股份有限公司,本科,"移动互联网,生活服务",[],"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",null,机器学习算法工程师,15k-25k,2000人以上,上市公司,1-3年
